Preemptive SJF Sonuçları - case1.csv
----------------------------------------
a) Zaman Tablosu
[0.001] -- P001 -- [1.001]
[1.001] -- IDLE -- [2]
[2.001] -- P002 -- [4.001]
[4.002] -- P003 -- [7.002]
[7.003] -- P004 -- [11]
[11] -- P005 -- [16]
[16] -- P006 -- [22]
[22.01] -- P007 -- [29.01]
[29.01] -- P008 -- [37.01]
[37.01] -- P009 -- [40]
[40] -- P021 -- [41]
[41] -- P009 -- [42]
[42] -- P022 -- [44]
[44] -- P023 -- [47]
[47] -- P024 -- [51]
[51] -- P025 -- [56]
[56] -- P009 -- [61.01]
[61.02] -- P026 -- [67.02]
[67.02] -- P027 -- [74.02]
[74.02] -- P028 -- [80]
[80] -- P041 -- [81]
[81] -- P028 -- [83.02]
[83.02] -- P042 -- [85.02]
[85.02] -- P043 -- [88.02]
[88.02] -- P044 -- [92.02]
[92.02] -- P045 -- [97.02]
[97.03] -- P046 -- [103]
[103] -- P047 -- [110]
[110] -- P048 -- [118]
[118] -- P029 -- [120]
[120] -- P061 -- [121]
[121] -- P029 -- [122]
[122] -- P062 -- [124]
[124] -- P063 -- [127]
[127] -- P064 -- [131]
[131] -- P065 -- [136]
[136] -- P066 -- [142]
[142] -- P029 -- [148]
[148] -- P067 -- [155]
[155] -- P068 -- [160]
[160] -- P081 -- [161]
[161] -- P068 -- [162]
[162] -- P082 -- [164]
[164] -- P068 -- [166]
[166] -- P083 -- [169]
[169] -- P084 -- [173]
[173] -- P085 -- [178]
[178] -- P086 -- [184]
[184] -- P087 -- [191]
[191] -- P088 -- [199]
[199] -- P049 -- [200]
[200] -- P101 -- [201]
[201] -- P049 -- [202]
[202] -- P102 -- [204]
[204] -- P103 -- [207]
[207] -- P104 -- [211]
[211] -- P105 -- [216]
[216] -- P106 -- [222]
[222] -- P107 -- [229]
[229] -- P049 -- [236.1]
[236.1] -- P108 -- [240]
[240] -- P121 -- [241]
[241] -- P108 -- [242]
[242] -- P122 -- [244]
[244] -- P123 -- [247]
[247] -- P108 -- [250.1]
[250.1] -- P124 -- [254.1]
[254.1] -- P125 -- [259.1]
[259.1] -- P126 -- [265.1]
[265.1] -- P127 -- [272.1]
[272.1] -- P128 -- [280.1]
[280.1] -- P141 -- [281.1]
[281.1] -- P069 -- [282]
[282] -- P142 -- [284]
[284] -- P143 -- [287]
[287] -- P144 -- [291]
[291] -- P145 -- [296]
[296] -- P146 -- [302]
[302] -- P147 -- [309]
[309] -- P148 -- [317]
[317] -- P069 -- [320]
[320] -- P161 -- [321]
[321] -- P069 -- [322]
[322] -- P162 -- [324]
[324] -- P163 -- [327]
[327] -- P164 -- [331]
[331] -- P069 -- [335.1]
[335.1] -- P165 -- [340.1]
[340.1] -- P166 -- [346.1]
[346.1] -- P167 -- [353.1]
[353.1] -- P168 -- [360]
[360] -- P181 -- [361]
[361] -- P168 -- [362.1]
[362.1] -- P182 -- [364.1]
[364.1] -- P183 -- [367.1]
[367.1] -- P184 -- [371.1]
[371.1] -- P185 -- [376.1]
[376.1] -- P186 -- [382.1]
[382.1] -- P187 -- [389.1]
[389.1] -- P188 -- [397.1]
[397.1] -- P089 -- [406.1]
[406.1] -- P109 -- [415.1]
[415.1] -- P129 -- [424.1]
[424.1] -- P149 -- [433.1]
[433.1] -- P169 -- [442.1]
[442.1] -- P189 -- [451.1]
[451.1] -- P010 -- [461.1]
[461.1] -- P030 -- [471.1]
[471.1] -- P050 -- [481.1]
[481.1] -- P070 -- [491.1]
[491.1] -- P090 -- [501.1]
[501.1] -- P110 -- [511.1]
[511.1] -- P130 -- [521.1]
[521.1] -- P150 -- [531.1]
[531.1] -- P170 -- [541.1]
[541.1] -- P190 -- [551.1]
[551.1] -- P011 -- [562.1]
[562.1] -- P031 -- [573.1]
[573.1] -- P051 -- [584.1]
[584.1] -- P071 -- [595.1]
[595.1] -- P091 -- [606.1]
[606.1] -- P111 -- [617.1]
[617.1] -- P131 -- [628.1]
[628.1] -- P151 -- [639.1]
[639.1] -- P171 -- [650.1]
[650.1] -- P191 -- [661.1]
[661.1] -- P012 -- [673.1]
[673.1] -- P032 -- [685.1]
[685.1] -- P052 -- [697.1]
[697.1] -- P072 -- [709.1]
[709.1] -- P092 -- [721.1]
[721.1] -- P112 -- [733.1]
[733.1] -- P132 -- [745.1]
[745.1] -- P152 -- [757.1]
[757.1] -- P172 -- [769.1]
[769.1] -- P192 -- [781.1]
[781.1] -- P013 -- [794.1]
[794.1] -- P033 -- [807.1]
[807.1] -- P053 -- [820.1]
[820.1] -- P073 -- [833.1]
[833.1] -- P093 -- [846.1]
[846.1] -- P113 -- [859.1]
[859.1] -- P133 -- [872.1]
[872.1] -- P153 -- [885.1]
[885.1] -- P173 -- [898.1]
[898.1] -- P193 -- [911.1]
[911.1] -- P014 -- [925.1]
[925.1] -- P034 -- [939.1]
[939.1] -- P054 -- [953.1]
[953.1] -- P074 -- [967.1]
[967.1] -- P094 -- [981.1]
[981.1] -- P114 -- [995.1]
[995.2] -- P134 -- [1009]
[1009] -- P154 -- [1023]
[1023] -- P174 -- [1037]
[1037] -- P194 -- [1051]
[1051] -- P015 -- [1066]
[1066] -- P035 -- [1081]
[1081] -- P055 -- [1096]
[1096] -- P075 -- [1111]
[1111] -- P095 -- [1126]
[1126] -- P115 -- [1141]
[1141] -- P135 -- [1156]
[1156] -- P155 -- [1171]
[1171] -- P175 -- [1186]
[1186] -- P195 -- [1201]
[1201] -- P016 -- [1217]
[1217] -- P036 -- [1233]
[1233] -- P056 -- [1249]
[1249] -- P076 -- [1265]
[1265] -- P096 -- [1281]
[1281] -- P116 -- [1297]
[1297] -- P136 -- [1313]
[1313] -- P156 -- [1329]
[1329] -- P176 -- [1345]
[1345] -- P196 -- [1361]
[1361] -- P017 -- [1378]
[1378] -- P037 -- [1395]
[1395] -- P057 -- [1412]
[1412] -- P077 -- [1429]
[1429] -- P097 -- [1446]
[1446] -- P117 -- [1463]
[1463] -- P137 -- [1480]
[1480] -- P157 -- [1497]
[1497] -- P177 -- [1514]
[1514] -- P197 -- [1531]
[1531] -- P018 -- [1549]
[1549] -- P038 -- [1567]
[1567] -- P058 -- [1585]
[1585] -- P078 -- [1603]
[1603] -- P098 -- [1621]
[1621] -- P118 -- [1639]
[1639] -- P138 -- [1657]
[1657] -- P158 -- [1675]
[1675] -- P178 -- [1693]
[1693] -- P198 -- [1711]
[1711] -- P019 -- [1730]
[1730] -- P039 -- [1749]
[1749] -- P059 -- [1768]
